Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
265122478,manim,ManimCommunity/manim,https://github.com/ManimCommunity/manim,A community-maintained Python framework for creating mathematical animations. ,Python,2020-05-19T02:37:13Z,2024-12-07T00:23:38Z,2024-12-06T23:50:19Z,453,1850,27002,27002,41872,ManimCommunity,Organization,MIT License
2206953,commander.js,tj/commander.js,https://github.com/tj/commander.js,node.js command-line interfaces made easy,JavaScript,2011-08-14T21:33:58Z,2024-12-07T00:45:01Z,2024-12-06T23:11:34Z,19,2691,26862,26862,3555,tj,User,MIT License
38696925,python-telegram-bot,python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,We have made you a wrapper you can't refuse,Python,2015-07-07T15:30:39Z,2024-12-07T01:07:38Z,2024-12-06T23:48:04Z,28,5357,26478,26478,15540,python-telegram-bot,Organization,GNU General Public License v3.0
108110,mongo,mongodb/mongo,https://github.com/mongodb/mongo,The MongoDB Database,C++,2009-01-15T16:15:18Z,2024-12-07T00:22:17Z,2024-12-07T00:22:09Z,77,5596,26474,26474,1098331,mongodb,Organization,Other
212619489,TrackersListCollection,XIU2/TrackersListCollection,https://github.com/XIU2/TrackersListCollection,🎈 Updated daily! A list of popular BitTorrent Trackers! / 每天更新！全网热门 BT Tracker 列表！,,2019-10-03T15:55:07Z,2024-12-07T00:10:53Z,2024-12-07T00:10:47Z,1,1640,26214,26214,13114,XIU2,User,GNU General Public License v3.0
808045485,ladybird,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,2024-05-30T09:18:10Z,2024-12-07T00:55:42Z,2024-12-07T00:37:06Z,444,1113,25986,25986,339890,LadybirdBrowser,Organization,"BSD 2-Clause ""Simplified"" License"
311315731,Xray-core,XTLS/Xray-core,https://github.com/XTLS/Xray-core,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",Go,2020-11-09T11:23:10Z,2024-12-07T00:32:28Z,2024-12-06T23:56:18Z,26,3987,25984,25984,5007,XTLS,Organization,Mozilla Public License 2.0
1357796,emscripten,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,Emscripten: An LLVM-to-WebAssembly Compiler,C++,2011-02-12T05:23:30Z,2024-12-06T23:45:56Z,2024-12-06T23:45:52Z,2168,3326,25917,25917,244667,emscripten-core,Organization,Other
161951219,wails,wailsapp/wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,Go,2018-12-15T23:14:06Z,2024-12-07T00:54:11Z,2024-12-07T00:05:11Z,269,1243,25688,25688,127610,wailsapp,Organization,MIT License
11481338,core-js,zloirock/core-js,https://github.com/zloirock/core-js,Standard Library,JavaScript,2013-07-17T16:32:27Z,2024-12-07T00:37:12Z,2024-12-07T00:37:08Z,43,1659,24629,24629,60888,zloirock,User,MIT License
